,,Track Name,Artist,Track ID,Popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
100,3533,Higher Ground (feat. John Martin),Martin Garrix,0rohJsT6NWsThpukt0Xxdc,55,0.0841,0.442,206279,0.619,0,1,0.0889,-5.28,1,0.0321,128.318,4,0.382
101,3534,Home (feat. Bonn),Martin Garrix,4aTtHoSBB0CuQGA6vXBNyp,51,0.0655,0.466,239067,0.612,4.07E-06,8,0.132,-4.855,0,0.0307,128.114,4,0.236
102,3535,In the Name of Love,Martin Garrix,23L5CiUhw2jV1OIMwthR3S,81,0.109,0.501,195707,0.519,0,4,0.454,-5.88,0,0.0409,133.99,4,0.168
103,3536,No Sleep (feat. Bonn),Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,61,0.129,0.44,207095,0.635,0,11,0.121,-6.385,1,0.0326,128.133,4,0.327
104,3537,Ocean (feat. Khalid),Martin Garrix,3nc420PXjTdBV5TN0gCFkS,69,0.584,0.506,216420,0.693,9.58E-05,0,0.0891,-7.265,0,0.0412,139.912,4,0.221
105,3538,Pizza,Martin Garrix,5oAgI7Pzg6vxuKrfapg3Pi,52,0.000408,0.381,255103,0.712,0.589,5,0.183,-6.9,1,0.0355,127.967,4,0.0378
106,3539,Pressure (feat. Tove Lo),Martin Garrix,4ga4WvRNhMsIL38pkBbnIN,65,0.659,0.859,144391,0.558,0.324,7,0.124,-8.991,0,0.0902,114.978,4,0.357
107,3540,Scared to Be Lonely,Martin Garrix,3ebXMykcMXOcLeJ9xZ17XH,78,0.0895,0.584,220883,0.54,0,1,0.261,-7.786,0,0.0576,137.972,4,0.195
108,3541,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,0OlnLZY4cmQzT6ZGttvWBM,66,0.435,0.526,183637,0.52,0,6,0.197,-7.985,0,0.0569,149.119,4,0.13
109,3542,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,7Feaw9WAEREY0DUOSXJLOM,73,0.179,0.661,163805,0.723,1.23E-05,5,0.14,-6.976,0,0.0566,113.778,4,0.316
