Genre,Master Genre
"['new wave pop', 'new romantic', 'new wave', 'soft rock', 'synthpop', 'mellow gold', 'disco', 'album rock', 'motown', 'quiet storm']",Rock
"['rock', 'hard rock', 'album rock', 'classic rock', 'metal', 'art rock', 'soft rock']",Rock
['halloween'],Novelty
"['virginia hip hop', 'hip hop']",Hip-Hop
"['trap latino', 'reggaeton', 'latin']",Latin
"['emo rap', 'vapor trap', 'underground hip hop']",Hip-Hop
"['metropopolis', 'modern rock', 'pop rock', 'pop', 'tropical house']",Rock
"['vapor trap', 'chicago rap', 'drill', 'trap', 'rap', 'southern hip hop', 'underground hip hop']",Rap
"['dance pop', 'urban contemporary', 'pop', 'r&b']",R&B & Soul
"['emo rap', 'rap']",Rap
"['lgbtq+ hip hop', 'emo rap']",Rap
"['moombahton', 'bmore', 'edm', 'pop dance', 'ninja', 'house', 'tropical house', 'electro house', 'pop', 'dance pop']",Pop
"['new wave pop', 'new romantic', 'synthpop', 'new wave', 'disco', 'europop', 'soft rock']",Pop
['baton rouge rap'],Rap
"['viral rap', 'alabama rap', 'vapor trap', 'trap', 'rap']",Rap
"['neo mellow', 'pop rock', 'acoustic pop', 'pop']",Pop
"['british soul', 'dance pop', 'urban contemporary', 'r&b', 'pop rap']",R&B & Soul
"['adult standards', 'brill building pop', 'rockabilly', 'easy listening', 'lounge', 'vocal jazz']",Jazz
"['rap sardegna', 'italian hip hop', 'italian underground hip hop']",Rap
"['adult standards', 'lounge', 'easy listening', 'brill building pop', 'vocal jazz', 'mellow gold']",Jazz
"['jazz pop', 'adult standards', 'canadian pop', 'lounge']",Jazz
['musical advocacy'],Other
['easy listening'],Pop
"['adult standards', 'lounge', 'easy listening']",Pop
"['beatlesque', 'classic rock', 'rock', 'folk rock', 'album rock', 'art rock', 'mellow gold']",Rock
"['puerto rican pop', 'latin pop']",Latin
"['adult standards', 'lounge', 'easy listening', 'swing', 'vocal jazz']",Jazz
"['rap', 'pop rap', 'hip hop', 'pop']",Rap
"['celtic rock', 'irish folk', 'celtic', 'folk punk', 'celtic punk', 'punk']",Rock
"['sophisti-pop', 'soft rock', 'mellow gold', 'blues rock', 'classic rock', 'art rock']",Rock
"['beatlesque', 'classic rock', 'rock', 'art rock', 'folk rock', 'album rock', 'mellow gold', 'soft rock']",Rock
"['rockabilly', 'rock-and-roll', 'new wave pop']",Rock
"['rap conscient', 'french hip hop', 'old school rap francais', 'pop urbaine', 'francoton']",Rap
